"","Age","Sex","r.HD","p.HD"
"167",83,"Female",0.058702,0.0570122623634672
"168",83,"Male",0.088144,0.0843709833487695
"169",84,"Female",0.066623,0.0644521636047876
"170",84,"Male",0.096784,0.0922479405964116
"171",85,"Female",0.078276,0.0752908284113826
"172",85,"Male",0.115393,0.108984094161436
"173",86,"Female",0.089749,0.0858393892095706
"174",86,"Male",0.125423,0.117876314664185
"175",87,"Female",0.103192,0.0980462182704518
"176",87,"Male",0.143376,0.133571769372982
"177",88,"Female",0.119602,0.112726498693836
"178",88,"Male",0.158237,0.146352556451795
"179",89,"Female",0.140437,0.131021591151918
"180",89,"Male",0.180164,0.1648667616713
"181",90,"Female",0.163402,0.150750278603683
"182",90,"Male",0.203413,0.1840588118818
"183",91,"Female",0.180757,0.165361848873765
"184",91,"Male",0.224826,0.201344827329919
"185",92,"Female",0.209935,0.189363064341429
"186",92,"Male",0.26044,0.229287602267339
"187",93,"Female",0.218156,0.195999992118251
"188",93,"Male",0.275954,0.241152163041107
"189",94,"Female",0.25722,0.226801908527441
"190",94,"Male",0.298072,0.257752104024689
"191",95,"Female",0.289189,0.251129344527262
"192",95,"Male",0.341517,0.289308614236395
"193",96,"Female",0.308029,0.265105994226125
"194",96,"Male",0.37582,0.313274067414126
"195",97,"Female",0.360902,0.302952694244275
"196",97,"Male",0.349034,0.294630852688762
"197",98,"Female",0.366327,0.3067239371325
"198",98,"Male",0.442385,0.35749777552445
"199",99,"Female",0.422892,0.344850614575261
"200",99,"Male",0.470769,0.375478173707987
"201",100,"Female",0.457811,0.367332961021307
"202",100,"Male",0.478128,0.380057160780215
"203",101,"Female",0.475172,0.378221898566296
"204",101,"Male",0.497142,0.3917333961794
"205",102,"Female",0.498357,0.392471991315636
"206",102,"Male",0.52497,0.408426888706051
"207",103,"Female",0.511805,0.40058733808098
"208",103,"Male",0.545484,0.420438792178537
"209",104,"Female",0.5327,0.412982120204278
"210",104,"Male",0.593318,0.447508925239307
"211",105,"Female",0.546807,0.421205044668697
"212",105,"Male",0.680344,0.493557253907707
"213",106,"Female",0.557266,0.427227113799567
"214",106,"Male",1.01075,0.636054082252172
"215",107,"Female",0.59123,0.446354118676711
"216",107,"Male",5.814632,0.997016421917793
"217",108,"Female",0.683698,0.495253017492887
"218",108,"Male",NA,NA
"219",109,"Female",1.338102,0.737656876405236
"220",109,"Male",NA,NA
"221",110,"Female",NA,NA
"222",110,"Male",NA,NA
